tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
854,4/30/2016 16:37:23,4/30/2016 16:51:38,470,W 20 St & 8 Ave,40.74345335,-74.00004031,450,W 49 St & 8 Ave,40.76227205,-73.98788205,22112,Subscriber,1979.0,2
427,4/30/2016 16:37:26,4/30/2016 16:44:33,116,W 17 St & 8 Ave,40.74177603,-74.00149746,497,E 17 St & Broadway,40.73704984,-73.99009296,17089,Subscriber,1990.0,2
1696,4/30/2016 16:37:27,4/30/2016 17:05:44,514,12 Ave & W 40 St,40.76087502,-74.00277668,514,12 Ave & W 40 St,40.76087502,-74.00277668,23403,Customer,,0
1618,4/30/2016 16:37:28,4/30/2016 17:04:27,459,W 20 St & 11 Ave,40.746745,-74.007756,3223,E 55 St & 3 Ave,40.75899655960512,-73.96865397691727,14719,Subscriber,1983.0,1
2214,4/30/2016 16:37:28,4/30/2016 17:14:23,3161,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,504,1 Ave & E 15 St,40.73221853,-73.98165557,16996,Subscriber,1990.0,1
1308,4/30/2016 16:37:29,4/30/2016 16:59:18,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,412,Forsyth St & Canal St,40.7158155,-73.99422366,22821,Subscriber,1962.0,1
1586,4/30/2016 16:37:30,4/30/2016 17:03:56,379,W 31 St & 7 Ave,40.749156,-73.9916,439,E 4 St & 2 Ave,40.7262807,-73.98978041,17070,Subscriber,1958.0,1
713,4/30/2016 16:37:33,4/30/2016 16:49:27,516,E 47 St & 1 Ave,40.75206862,-73.96784384,3156,E 72 St & York Ave,40.76663814,-73.95348296,21955,Subscriber,1992.0,1
585,4/30/2016 16:37:32,4/30/2016 16:47:17,251,Mott St & Prince St,40.72317958,-73.99480012,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,17636,Customer,,0
1532,4/30/2016 16:37:33,4/30/2016 17:03:06,514,12 Ave & W 40 St,40.76087502,-74.00277668,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,16754,Customer,,0
457,4/30/2016 16:37:34,4/30/2016 16:45:11,278,Concord St & Bridge St,40.69766564,-73.98476437,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,19501,Customer,,0
616,4/30/2016 16:37:36,4/30/2016 16:47:52,474,5 Ave & E 29 St,40.7451677,-73.98683077,458,11 Ave & W 27 St,40.751396,-74.005226,17154,Subscriber,1984.0,1
1298,4/30/2016 16:37:36,4/30/2016 16:59:15,3141,1 Ave & E 68 St,40.76500525,-73.95818491,3173,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,22669,Subscriber,1982.0,2
871,4/30/2016 16:37:37,4/30/2016 16:52:08,293,Lafayette St & E 8 St,40.73028666,-73.9907647,388,W 26 St & 10 Ave,40.749717753,-74.002950346,20153,Subscriber,1986.0,1
2254,4/30/2016 16:37:38,4/30/2016 17:15:12,3231,E 67 St & Park Ave,40.76780080148132,-73.96592080593109,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,17593,Subscriber,1982.0,1
373,4/30/2016 16:37:45,4/30/2016 16:43:58,509,9 Ave & W 22 St,40.7454973,-74.00197139,247,Perry St & Bleecker St,40.73535398,-74.00483091,21240,Subscriber,1981.0,1
157,4/30/2016 16:37:46,4/30/2016 16:40:23,410,Suffolk St & Stanton St,40.72066442,-73.98517977,317,E 6 St & Avenue B,40.72453734,-73.98185424,15426,Subscriber,1981.0,1
271,4/30/2016 16:37:47,4/30/2016 16:42:19,509,9 Ave & W 22 St,40.7454973,-74.00197139,435,W 21 St & 6 Ave,40.74173969,-73.99415556,23700,Subscriber,1972.0,1
575,4/30/2016 16:37:49,4/30/2016 16:47:24,3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,3118,McGuinness Blvd & Eagle St,40.73555,-73.95284,15239,Subscriber,1967.0,1
348,4/30/2016 16:37:48,4/30/2016 16:43:36,502,Henry St & Grand St,40.714215,-73.981346,361,Allen St & Hester St,40.71605866,-73.99190759,22734,Subscriber,1982.0,1
1510,4/30/2016 16:37:51,4/30/2016 17:03:01,514,12 Ave & W 40 St,40.76087502,-74.00277668,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,21963,Subscriber,1986.0,1
1929,4/30/2016 16:37:48,4/30/2016 17:09:58,3143,5 Ave & E 78 St,40.77682863439968,-73.96388769149779,423,W 54 St & 9 Ave,40.76584941,-73.98690506,19476,Customer,,0
427,4/30/2016 16:37:51,4/30/2016 16:44:59,3232,Bond St & Fulton St,40.68962188790333,-73.98304268717766,392,Jay St & Tech Pl,40.695065,-73.987167,19404,Customer,,0
1578,4/30/2016 16:37:50,4/30/2016 17:04:09,251,Mott St & Prince St,40.72317958,-73.99480012,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,19685,Customer,,0
599,4/30/2016 16:37:58,4/30/2016 16:47:57,496,E 16 St & 5 Ave,40.73726186,-73.99238967,459,W 20 St & 11 Ave,40.746745,-74.007756,22150,Subscriber,1982.0,1
1589,4/30/2016 16:37:59,4/30/2016 17:04:29,459,W 20 St & 11 Ave,40.746745,-74.007756,3223,E 55 St & 3 Ave,40.75899655960512,-73.96865397691727,18669,Customer,,0
984,4/30/2016 16:37:59,4/30/2016 16:54:24,225,W 14 St & The High Line,40.74195138,-74.00803013,426,West St & Chambers St,40.71754834,-74.01322069,19268,Customer,,0
1304,4/30/2016 16:38:00,4/30/2016 16:59:44,3143,5 Ave & E 78 St,40.77682863439968,-73.96388769149779,484,W 44 St & 5 Ave,40.75500254,-73.98014437,14633,Customer,,0
1087,4/30/2016 16:38:01,4/30/2016 16:56:09,3112,Milton St & Franklin St,40.72906,-73.95779,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,24128,Subscriber,1982.0,1
1423,4/30/2016 16:38:02,4/30/2016 17:01:45,523,W 38 St & 8 Ave,40.75466591,-73.99138152,515,W 43 St & 10 Ave,40.76009437,-73.99461843,16942,Subscriber,1992.0,2
816,4/30/2016 16:38:04,4/30/2016 16:51:40,497,E 17 St & Broadway,40.73704984,-73.99009296,518,E 39 St & 2 Ave,40.74780373,-73.9734419,20044,Subscriber,1980.0,1
1637,4/30/2016 16:38:03,4/30/2016 17:05:20,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3165,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,21209,Customer,,0
585,4/30/2016 16:38:03,4/30/2016 16:47:49,444,Broadway & W 24 St,40.7423543,-73.98915076,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,18721,Subscriber,1955.0,1
1117,4/30/2016 16:38:04,4/30/2016 16:56:41,315,South St & Gouverneur Ln,40.70355377,-74.00670227,411,E 6 St & Avenue D,40.72228087,-73.97668709,15427,Subscriber,1970.0,2
644,4/30/2016 16:38:05,4/30/2016 16:48:49,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,486,Broadway & W 29 St,40.7462009,-73.98855723,14706,Subscriber,1984.0,1
341,4/30/2016 16:38:04,4/30/2016 16:43:46,3141,1 Ave & E 68 St,40.76500525,-73.95818491,3156,E 72 St & York Ave,40.76663814,-73.95348296,20991,Subscriber,1962.0,2
11643,4/30/2016 16:38:05,4/30/2016 19:52:09,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,22319,Customer,,0
1240,4/30/2016 16:38:06,4/30/2016 16:58:47,328,Watts St & Greenwich St,40.72405549,-74.00965965,508,W 46 St & 11 Ave,40.76341379,-73.99667444,17236,Subscriber,1975.0,1
526,4/30/2016 16:38:07,4/30/2016 16:46:54,394,E 9 St & Avenue C,40.72521311,-73.97768752,251,Mott St & Prince St,40.72317958,-73.99480012,22154,Subscriber,1984.0,1
665,4/30/2016 16:38:06,4/30/2016 16:49:12,3158,W 63 St & Broadway,40.77163851,-73.98261428,488,W 39 St & 9 Ave,40.75645824,-73.99372222,16529,Subscriber,1987.0,2
1896,4/30/2016 16:38:08,4/30/2016 17:09:44,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3165,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,17168,Customer,,0
259,4/30/2016 16:38:12,4/30/2016 16:42:32,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,368,Carmine St & 6 Ave,40.73038599,-74.00214988,17523,Subscriber,1967.0,1
14018,4/30/2016 16:38:13,4/30/2016 20:31:52,418,Front St & Gold St,40.70224,-73.982578,418,Front St & Gold St,40.70224,-73.982578,22449,Customer,,0
1332,4/30/2016 16:38:14,4/30/2016 17:00:27,351,Front St & Maiden Ln,40.70530954,-74.00612572,394,E 9 St & Avenue C,40.72521311,-73.97768752,17554,Subscriber,1982.0,1
1317,4/30/2016 16:38:16,4/30/2016 17:00:13,495,W 47 St & 10 Ave,40.76269882,-73.99301222,428,E 3 St & 1 Ave,40.72467721,-73.98783413,15169,Subscriber,1970.0,2
1901,4/30/2016 16:38:17,4/30/2016 17:09:59,3143,5 Ave & E 78 St,40.77682863439968,-73.96388769149779,423,W 54 St & 9 Ave,40.76584941,-73.98690506,15914,Customer,,0
1974,4/30/2016 16:38:18,4/30/2016 17:11:12,417,Barclay St & Church St,40.71291224,-74.01020234,462,W 22 St & 10 Ave,40.74691959,-74.00451887,17313,Customer,,0
736,4/30/2016 16:38:17,4/30/2016 16:50:34,412,Forsyth St & Canal St,40.7158155,-73.99422366,412,Forsyth St & Canal St,40.7158155,-73.99422366,16435,Customer,,0
708,4/30/2016 16:38:20,4/30/2016 16:50:08,306,Cliff St & Fulton St,40.70823502,-74.00530063,2009,Catherine St & Monroe St,40.71117444,-73.99682619,14824,Subscriber,1998.0,2
4096,4/30/2016 16:38:25,4/30/2016 17:46:42,3177,W 84 St & Broadway,40.7867947,-73.977112,249,Harrison St & Hudson St,40.71870987,-74.0090009,17757,Customer,,0
1963,4/30/2016 16:38:28,4/30/2016 17:11:12,417,Barclay St & Church St,40.71291224,-74.01020234,462,W 22 St & 10 Ave,40.74691959,-74.00451887,16998,Customer,,0
488,4/30/2016 16:38:28,4/30/2016 16:46:37,546,E 30 St & Park Ave S,40.74444921,-73.98303529,497,E 17 St & Broadway,40.73704984,-73.99009296,22209,Subscriber,1990.0,1
